"height","weight","age","male"
121.92,19.617854,12,1
105.41,13.947954,8,0
86.36,10.489315,6.5,0
129.54,23.586784,13,1
109.22,15.989118,7,0
137.16,27.328918,17,1
125.73,22.6796,16,0
114.3,17.860185,11,1
144.78,28.803092,17,0
121.92,20.41164,8,1
128.905,23.359988,12,0
97.79,13.267566,5,0
127,22.0105518,13,1
110.49,15.422128,9,0
97.79,12.757275,5,0
129.54,24.550667,13,1
129.54,25.627948,14,0
146.05,29.596878,12,0
91.44,12.927372,0.599999999999909,1
147.955,41.900561,17,0
137.795,27.5840635,12,0
113.665,17.463292,6,1
118.745,18.824068,9,0
113.03,17.8885345,5,1
133.985,27.442316,12,1
148.59,32.4601775,16,0
111.125,17.123098,11,1
111.76,16.499409,6,1
124.46,18.257078,12,0
111.76,15.081934,9,1
86.36,11.4815475,7.59999999999991,1
74.295,9.752228,1,1
96.52,13.097469,5,1
116.84,19.391058,8,0
100.076,15.081934,6,1
141.605,29.313383,15,1
91.44,11.7083435,3,0
149.225,38.1300775,17,1
129.54,21.999212,12,0
121.92,19.787951,8,0
113.665,16.782904,5,1
120.65,21.1770765,12,0
115.6,18.9,7,1
96.52,13.267566,3,0
125.095,22.3677555,11,0
103.505,12.757275,6,0
94.615,13.0124205,4,0
142.875,32.205032,17,0
133.35,23.756881,14,0
127.635,24.4089195,9,1
119.38,21.5172705,7,1
102.235,13.1258185,6,0
114.3,18.3421265,7,1
100.965,13.7495075,4,1
91.44,12.530479,4,1
131.445,22.509503,14,0
107.95,17.57669,6,1
147.955,44.735511,16,0
100.965,14.401546,5,1
113.03,19.050864,9,1
123.19,20.808533,8,1
110.49,17.6617385,11,0
153.67,40.766581,16,0
134.62,27.1304715,13,0
114.3,20.4966885,10,0
120.65,20.8935815,11,1
106.68,15.989118,8,0
158.115,43.09124,17,1
93.98,14.288148,5,0
105.41,15.2236815,5,0
145.415,35.493574,15,1
127,21.488921,12,0
127,24.4089195,15,0
147.955,33.792604,17,0
125.3998,21.375523,13,0
111.125,16.669506,8,0
143.51,34.8415355,16,1
117.983,24.097075,13,0
92.71,12.076887,5,0
147.955,41.276872,17,0
130.6068,25.2594045,15,0
101.6,15.3370795,5,0
111.76,17.8318355,8.90000000000009,1
147.32,40.312989,16,1
85.09,11.453198,3,1
84.455,11.7650425,1,1
59.6138,5.896696,1,0
92.71,12.1052365,3,1
111.125,18.313777,6,0
90.805,11.3681495,5,0
99.695,16.2442635,5,0
62.484,6.80388,1,0
81.915,11.8784405,2,1
96.52,14.968536,2,0
80.01,9.865626,1,1
140.6398,28.859791,12,1
88.265,12.7856245,2,0
123.825,20.581737,9,0
104.14,15.87572,6,0
97.155,17.066399,7,0
93.345,13.1825175,5,1
91.44,12.927372,6,0
60.452,5.6699,1,1
137.16,28.91649,15,1
81.28,11.509897,1,1
109.22,11.7083435,2,0
71.12,7.540967,1,1
89.2048,12.700576,3,0
67.31,7.200773,1,0
85.09,12.360382,1,1
69.85,7.7961125,1,0
88.9,12.5588285,3,1
90.17,12.700576,3,1
71.755,7.37087,1,0
83.82,9.2135875,1,0
142.24,28.632995,16,0
123.19,20.014747,12,1
74.93,8.50485,1,1
74.295,8.3064035,1,0
90.805,11.623295,3,0
67.945,7.9662095,1,0
135.89,27.21552,15,0
85.09,10.8011595,3,1
93.345,14.004653,3,0
120.015,20.128145,13,0
114.3,18.14368,8,1
83.82,10.9145575,3,1
137.16,27.158821,12,1
114.3,19.050864,7,1
93.98,13.834556,4,0
139.7,26.5634815,15,1
76.2,9.2135875,1,1
66.04,7.5693165,1,1
114.3,19.4194075,8,0
146.05,37.9032815,16,1
69.85,7.314171,0,0
133.985,28.1510535,13,1
67.945,7.824462,0,1
68.58,8.0229085,0,0
132.08,22.792998,11,1
84.455,9.3836845,2,1
127.9906,29.8520235,13,1
132.08,28.292801,11,1
117.983,20.354941,8,1
154.94,39.179009,16,1
97.9932,13.2959155,5,1
64.135,6.6621325,1,0
124.9934,25.117657,13,1
106.045,16.272613,6,1
76.2,8.50485,1,0
140.0048,28.3495,15,0
66.675,8.1363065,0,0
62.865,7.200773,0,1
147.955,32.488527,12,1
62.23,7.257472,0,0
157.48,41.3052215,17,1
55.88,4.8477645,0,0
60.96,6.23689,0,1
118.11,16.896302,7,0
78.105,8.221355,3,0
121.92,20.184844,10,0
92.71,12.757275,3,1
91.44,11.623295,4,0
83.185,9.1568885,2,1
123.825,21.205426,10,1
88.9,11.5949455,3,1
137.16,27.952607,16,0
111.125,17.690088,6,1
145.415,34.246196,14,0
144.78,32.545226,15,0
123.825,21.54562,11,1
85.09,11.4248485,3,0
106.045,15.478827,8,0
126.365,21.9141635,15,1
124.46,19.27766,12,0
89.535,11.113004,3,1
101.6,13.494362,4,0
53.975,4.252425,0,0
56.515,5.159609,0,0
100.965,14.3164975,5,1
121.92,23.2182405,8,1
81.5848,10.659412,3,0
132.715,24.9759095,15,1
125.095,22.5945515,12,0
101.6,14.344847,5,0
132.715,24.777463,13,0
87.63,10.659412,6,0
114.935,17.519991,7,1
67.945,7.2291225,1,0
76.835,8.0229085,1,1
145.415,31.127751,17,1
71.12,8.051258,0,1
